Attendance,Study Hours,Homework Completion,Test Scores,SES,Extracurricular Activities,Parent Involvement,Tutoring,Sleep Hours,Health Conditions,Final Grade
88,12,96,54,Middle,2,High,Yes,7,Severe,59.0
74,11,81,74,Low,0,High,No,9,Mild,62.95
95,17,88,94,Middle,0,Medium,No,7,Severe,64.05
94,10,84,82,Middle,0,Low,No,7,Severe,57.7
97,17,98,58,Middle,2,Medium,No,9,Mild,62.65
73,12,76,62,Middle,4,Low,No,8,Mild,56.400000000000006
95,11,86,70,Middle,1,Medium,No,6,Severe,54.95
98,15,90,94,High,0,Medium,No,6,Severe,69.55
77,23,84,74,High,1,Low,Yes,6,Mild,68.15
94,13,90,82,Low,0,High,No,7,Severe,64.64999999999999
92,26,91,84,Low,1,Medium,No,7,None,68.3
80,22,98,99,Low,4,High,Yes,6,Mild,81.8
98,16,99,65,High,2,Low,Yes,8,Severe,67.9
99,28,75,95,High,3,Low,Yes,6,None,81.3
73,24,77,51,Low,0,Medium,No,9,Mild,53.3
99,23,85,67,Middle,3,High,No,6,Mild,70.64999999999999
99,13,86,52,High,2,High,No,6,None,65.85
92,16,89,79,Low,0,Medium,No,9,Mild,65.9
78,21,78,99,High,3,High,No,9,None,81.15
82,19,77,57,Middle,3,Medium,Yes,8,Mild,61.650000000000006
85,14,85,80,Low,2,Medium,No,9,None,63.5
70,16,86,74,Middle,4,High,Yes,7,Mild,68.4
73,23,80,60,Low,0,Low,No,9,None,56.35
88,14,94,54,High,0,High,No,7,Mild,66.10000000000001
88,22,84,93,Middle,2,Low,No,6,Severe,62.80000000000001
90,10,81,96,High,2,High,No,8,None,77.5
74,26,93,74,High,0,High,No,9,None,74.10000000000001
78,24,79,56,Middle,0,Low,Yes,8,Mild,59.2
89,25,82,84,Middle,3,Medium,Yes,7,None,71.65
100,15,77,58,Low,1,Medium,No,9,Severe,53.55
99,21,80,97,Low,3,Medium,No,9,Mild,75.14999999999999
89,16,100,54,Low,3,Medium,No,6,Severe,56.0
100,15,83,68,Middle,2,High,Yes,7,None,68.75
94,12,75,88,High,1,Low,Yes,9,None,73.19999999999999
81,17,80,92,High,2,Medium,No,8,Severe,66.05
80,12,84,96,Low,2,High,Yes,6,Severe,67.6
99,13,76,58,Low,1,Medium,No,6,Severe,50.65
89,16,76,99,Middle,3,Medium,Yes,6,Mild,72.7
84,23,89,99,High,3,Low,Yes,8,Mild,83.05
80,11,97,80,Low,3,High,Yes,6,None,73.15
85,11,94,66,High,2,Medium,Yes,6,Severe,61.349999999999994
84,14,83,80,Low,4,Low,No,8,None,65.9
75,26,93,85,Middle,0,Medium,Yes,8,Mild,70.6
83,22,86,53,High,0,Low,No,6,Severe,55.199999999999996
95,30,79,85,Low,3,High,Yes,6,Severe,73.8
81,30,100,59,Low,4,Medium,Yes,6,Mild,67.4
71,15,81,53,Middle,3,Medium,Yes,9,None,58.050000000000004
78,30,85,93,Middle,1,Low,No,9,None,70.0
89,15,97,88,Middle,0,High,Yes,6,Severe,70.35
94,18,96,92,Low,0,Medium,Yes,8,None,75.1
70,19,79,50,High,1,Low,No,6,None,54.55
75,16,80,78,Middle,1,Medium,No,8,Mild,60.4
82,23,97,58,Low,1,Low,Yes,8,Mild,63.95
73,11,85,74,Middle,4,Low,Yes,6,Mild,62.55
95,15,82,53,Low,0,Low,No,9,None,57.050000000000004
76,27,80,94,High,3,Medium,No,8,Mild,76.15
85,19,93,83,Low,0,Low,No,8,Mild,67.25
96,29,86,60,Middle,0,Low,No,9,None,63.650000000000006
91,11,91,76,High,4,Medium,Yes,6,None,72.95
80,19,75,63,Low,1,High,No,9,None,61.65
76,10,77,93,High,3,Medium,No,8,Severe,66.0
85,27,83,85,Low,1,High,Yes,9,Severe,70.85
93,27,98,58,Middle,1,Low,Yes,8,Severe,62.349999999999994
90,15,100,52,Low,0,Low,Yes,7,Severe,55.35
79,10,86,96,High,0,Low,Yes,9,None,74.3
82,20,100,95,Middle,4,High,Yes,8,Severe,77.9
88,28,84,88,Low,3,Medium,No,6,Mild,70.80000000000001
70,29,90,72,Middle,3,Medium,No,9,None,65.85
79,12,90,79,High,0,High,Yes,6,None,73.5
78,20,91,79,Middle,3,Low,No,7,Mild,65.5
97,12,80,64,Low,4,High,No,7,None,65.60000000000001
79,25,91,93,Middle,0,Medium,No,8,Severe,65.15
77,16,87,100,Low,0,High,No,9,Severe,68.8
81,27,95,85,Low,2,High,No,6,Severe,67.45
81,27,94,66,Middle,0,Low,No,7,Mild,61.55
95,21,75,89,Low,3,Low,Yes,6,None,71.95
81,18,75,54,Low,4,Low,No,6,Severe,49.900000000000006
100,19,92,75,High,3,Low,No,6,Severe,68.65
86,23,77,88,Low,1,Low,No,8,Mild,66.75
77,25,84,68,High,0,Low,No,9,Mild,65.85
100,10,83,88,Low,4,Low,No,6,Severe,63.5
98,20,77,95,High,1,Low,No,9,Severe,70.5
93,15,95,66,Middle,1,Medium,Yes,6,Severe,59.150000000000006
85,22,97,58,Low,0,Low,Yes,6,Mild,62.300000000000004
85,11,88,85,High,0,Low,No,8,None,69.85
74,30,76,71,Middle,3,High,Yes,6,Mild,69.8
94,11,79,83,Low,1,High,No,6,Mild,67.25
92,10,77,66,High,1,Low,Yes,7,Severe,59.10000000000001
100,10,97,91,Low,1,Medium,No,8,None,71.2
97,29,97,78,High,3,Medium,Yes,6,None,80.45
82,25,80,66,High,3,High,No,8,None,73.45
85,29,78,97,Low,0,Medium,No,9,None,70.95
83,21,88,73,High,2,Medium,Yes,8,Mild,71.35
85,14,83,75,High,2,High,Yes,7,Mild,72.6
91,29,79,60,High,0,Medium,No,7,Mild,64.25
98,18,90,87,Middle,0,Medium,Yes,6,None,71.2
88,16,96,92,Low,2,Medium,No,7,Severe,63.400000000000006
88,13,98,54,High,4,Medium,No,9,Severe,61.650000000000006
91,12,78,97,Low,3,Low,Yes,8,Mild,73.89999999999999
73,19,83,94,Middle,0,Medium,No,6,Severe,59.150000000000006
85,15,97,85,High,2,Medium,Yes,9,None,75.65
83,18,95,86,Middle,1,Medium,No,8,Severe,62.900000000000006
81,30,79,60,Middle,3,High,No,9,Mild,67.5
97,27,90,51,Middle,4,Medium,No,7,None,62.45
78,18,91,87,High,0,Medium,No,6,Severe,64.39999999999999
88,28,82,94,Low,4,High,No,6,None,77.2
71,27,80,69,Low,3,Medium,Yes,7,Mild,63.650000000000006
95,19,76,82,Middle,1,Medium,Yes,9,None,68.55
94,12,100,84,Low,2,Low,No,9,None,69.0
73,24,93,70,High,3,Medium,No,7,None,68.2
93,11,94,72,High,2,Low,Yes,7,Mild,69.75
80,23,92,90,Middle,4,Low,Yes,6,Mild,73.15
96,11,76,64,High,0,Low,Yes,6,Mild,64.35000000000001
88,20,99,77,High,2,Low,Yes,8,Mild,75.5
93,23,90,57,Middle,3,Medium,Yes,6,None,65.45
90,16,83,67,Low,4,High,Yes,8,Mild,71.7
77,24,88,84,Low,4,Low,Yes,9,Mild,72.2
98,11,88,63,High,1,Low,Yes,9,Mild,68.85
97,10,78,90,Low,1,Medium,No,9,Severe,61.5
87,16,89,75,Low,2,Low,Yes,8,None,66.7
89,23,82,97,Middle,1,Low,No,6,Mild,69.05
97,11,88,70,High,2,Low,No,9,None,67.75
99,22,81,88,High,3,Medium,Yes,9,None,80.9
96,12,82,63,Middle,2,Low,No,7,Mild,57.50000000000001
92,13,83,61,Low,4,High,No,6,Mild,64.55
84,17,94,81,Middle,2,Medium,No,8,Mild,66.15
89,24,100,82,Middle,1,Low,Yes,6,Mild,71.39999999999999
93,21,80,64,High,3,Low,No,9,None,69.05
100,15,77,53,High,0,High,Yes,6,None,68.05
73,20,96,96,High,4,Medium,No,6,Mild,75.6
78,25,79,56,High,2,High,No,6,Severe,59.45
72,30,81,99,Middle,3,Low,Yes,9,Mild,75.8
93,20,79,52,Low,3,High,No,6,None,63.00000000000001
88,20,90,72,High,2,High,Yes,8,Mild,77.2
87,27,78,76,High,1,Medium,No,7,Severe,62.55
85,16,94,66,High,4,Low,No,6,Severe,62.599999999999994
71,28,98,51,High,4,Medium,Yes,9,Mild,69.1
83,27,95,74,High,0,High,Yes,9,None,79.55
88,20,99,62,Middle,3,Medium,Yes,7,Severe,62.0
72,20,87,56,Low,4,High,No,8,None,63.599999999999994
74,29,90,83,Low,0,Low,No,6,Severe,59.94999999999999
100,30,76,65,Middle,4,Low,Yes,6,Mild,68.2
93,28,99,82,High,0,Medium,Yes,6,None,78.0
96,28,90,77,Low,3,Medium,Yes,8,None,75.3
81,15,94,66,Low,2,Medium,No,9,Severe,55.55
71,20,92,51,Low,4,Low,Yes,7,Mild,58.900000000000006
71,23,87,81,High,1,High,No,9,None,73.65
100,28,85,60,Low,3,High,No,7,Mild,70.0
70,12,89,52,Low,2,Medium,Yes,7,Severe,48.4
71,10,89,69,Low,3,Medium,Yes,6,Severe,56.2
81,17,95,88,High,2,Low,No,9,Mild,72.85
94,19,99,59,High,3,Low,No,9,None,71.05
88,28,80,67,Middle,4,Medium,Yes,7,Mild,66.7
89,29,83,77,High,2,Low,No,7,None,69.75
91,30,98,84,Low,4,Medium,No,6,Severe,68.5
73,29,87,78,Middle,0,High,Yes,8,Mild,72.65
97,24,98,94,High,4,High,No,6,Severe,81.2
93,26,95,58,Middle,2,Medium,No,9,Mild,63.5
78,27,96,88,High,2,Medium,No,8,None,74.95
75,11,86,86,Middle,4,Low,Yes,7,Severe,61.75
96,12,86,93,High,3,Low,No,6,None,75.30000000000001
86,29,91,89,Low,4,High,Yes,9,None,82.35
78,14,88,90,High,1,Medium,Yes,7,None,71.7
97,16,76,69,Low,1,Low,Yes,8,None,64.3
79,13,91,84,Low,3,High,No,7,None,70.45
100,23,78,56,High,2,High,Yes,7,None,71.15
72,30,85,76,Low,1,Medium,Yes,6,None,64.7
82,30,95,70,High,2,High,Yes,7,Severe,71.9
89,17,83,81,Middle,4,Low,No,8,None,67.95
89,17,91,86,High,0,High,No,8,Mild,78.05
85,20,90,92,High,3,Low,Yes,6,Severe,73.6
100,16,76,61,Low,1,Low,No,8,Mild,59.5
87,21,94,88,Low,4,Low,No,9,None,72.85
88,21,81,55,Low,3,Medium,No,6,Mild,58.55
74,19,75,96,Middle,4,Low,No,7,None,66.35
100,28,81,51,Middle,2,Medium,No,6,Mild,58.5
90,25,85,83,High,0,Low,Yes,9,None,76.15
71,29,98,93,High,3,High,Yes,6,Mild,84.95
84,28,99,90,Middle,1,Low,Yes,9,Mild,75.6
92,18,78,58,Low,3,Medium,Yes,7,None,61.9
97,30,89,88,High,3,Medium,Yes,9,Severe,79.1
87,15,83,63,High,4,Medium,Yes,6,Mild,67.65
99,26,85,62,Low,2,Low,No,9,Severe,58.89999999999999
85,18,87,53,Low,0,High,No,8,None,61.800000000000004
97,17,99,72,High,1,Low,Yes,6,Mild,73.05
77,23,94,93,Low,4,High,Yes,6,None,78.85
75,18,93,55,High,4,Medium,Yes,8,Mild,67.6
76,11,94,96,Low,4,Low,Yes,8,Severe,68.55
92,13,82,53,Middle,3,High,No,7,Mild,61.95
91,23,82,86,Middle,1,Low,No,8,Mild,68.15
78,21,85,70,Low,4,High,Yes,7,Mild,69.85
76,12,86,85,High,0,High,Yes,9,Severe,70.9
89,24,77,56,Middle,1,Low,Yes,7,Severe,54.0
73,15,84,93,High,0,Low,No,8,None,70.05000000000001
97,15,96,79,Middle,0,Medium,Yes,9,Mild,71.05000000000001
75,20,83,70,High,3,High,Yes,6,Severe,68.6
71,23,96,76,Low,1,Low,No,8,Mild,63.95
72,29,89,92,Low,4,Medium,Yes,7,Mild,73.05
87,16,78,83,Middle,0,Low,No,6,Severe,56.9
71,13,91,54,High,1,Low,No,9,Mild,58.85000000000001
89,24,99,52,Middle,0,Medium,Yes,9,None,64.2
94,11,95,68,High,2,Low,Yes,8,Mild,70.94999999999999
78,18,96,82,High,1,Low,Yes,8,Severe,68.9
86,24,80,53,Low,0,Low,No,8,Severe,52.1
82,10,84,73,Middle,4,Low,Yes,8,Mild,65.6
86,23,79,59,High,2,High,No,8,None,68.45
99,10,93,94,Low,4,Medium,Yes,6,None,75.10000000000001
75,20,79,70,Low,4,High,Yes,8,None,69.8
91,17,88,96,Middle,0,Medium,Yes,8,Severe,68.85
84,18,84,68,Low,0,Medium,No,6,Severe,53.5
83,11,85,57,Low,0,Low,No,8,Mild,55.45
72,20,83,89,Middle,3,Medium,Yes,6,Severe,63.7
82,12,90,96,Middle,3,Low,No,6,Severe,64.2
84,30,91,81,High,4,Low,No,7,Mild,74.8
98,16,83,68,Low,1,Low,Yes,6,Mild,63.6
95,11,94,67,Low,0,Medium,Yes,6,None,63.64999999999999
85,23,100,80,Middle,2,Medium,No,6,Mild,66.75
93,26,100,94,Middle,1,Medium,No,8,Severe,70.3
97,24,79,76,High,2,Medium,No,6,Severe,64.0
84,19,92,70,High,3,Medium,No,7,Severe,63.95
97,10,78,71,High,1,Medium,Yes,6,Severe,61.8
93,14,86,96,Low,2,Low,Yes,9,None,73.1
83,25,82,96,High,3,Medium,No,6,None,76.05
73,24,79,77,Low,0,High,No,9,Severe,61.5
90,15,98,64,Middle,4,Medium,Yes,8,Mild,68.55
98,18,88,90,Middle,3,High,Yes,6,Mild,79.7
81,12,98,81,Middle,2,High,Yes,8,Mild,73.1
81,24,84,69,Middle,3,Medium,No,8,Severe,59.7
71,14,84,73,Low,0,Medium,No,8,None,58.4
72,11,81,50,High,0,Medium,No,6,Mild,53.349999999999994
78,19,98,67,Middle,2,Medium,Yes,8,None,65.05
74,19,97,56,Low,2,Low,No,8,None,57.75
70,19,98,72,Middle,3,Medium,No,8,Mild,64.95
72,30,89,100,High,3,Low,Yes,6,Mild,80.7
76,16,82,69,Low,0,Medium,No,8,Severe,53.30000000000001
85,12,81,57,Middle,0,High,No,7,None,58.3
75,11,97,66,Low,2,Medium,Yes,9,Mild,61.95
85,30,75,80,Middle,3,Medium,No,6,Mild,66.5
96,23,97,71,Middle,4,Medium,Yes,9,Severe,68.65
100,30,99,64,Low,3,Medium,No,9,Severe,66.5
96,25,92,66,Low,1,Medium,Yes,6,Severe,61.650000000000006
84,10,81,69,Middle,1,High,Yes,9,None,66.2
72,13,89,73,High,3,Medium,Yes,7,Mild,68.35
88,15,79,64,Middle,4,High,No,7,None,64.35000000000001
73,10,98,85,Low,0,High,No,7,Severe,62.2
95,20,89,90,Low,0,Low,No,7,Mild,68.8
83,28,78,98,High,2,Medium,No,7,Mild,73.6
71,23,86,87,High,0,High,Yes,6,Mild,76.25
99,19,95,74,Low,2,High,Yes,9,Mild,75.75
86,13,88,81,Low,2,Medium,No,7,None,62.349999999999994
83,15,87,76,Middle,1,Medium,No,8,Mild,62.55
92,12,97,72,High,4,High,Yes,8,Mild,80.4
88,30,98,68,Middle,0,Medium,No,6,Mild,65.1
72,22,79,73,High,3,Medium,No,9,Severe,62.599999999999994
99,28,79,81,Middle,0,Low,No,9,None,68.9
80,19,93,94,Low,0,High,No,9,Severe,69.55
88,25,93,85,Low,0,Low,No,8,Mild,69.95
91,18,94,77,Middle,3,Medium,No,9,Mild,69.6
84,23,94,73,Middle,4,Low,Yes,8,Severe,66.25
87,16,86,83,Low,4,High,No,8,Severe,68.5
77,28,99,78,High,2,Low,Yes,7,Severe,68.6
74,11,81,65,Middle,0,Medium,No,9,Severe,50.25
82,22,93,62,Low,1,Medium,Yes,7,Mild,62.099999999999994
71,21,76,91,Middle,1,Low,Yes,8,None,66.95
95,26,88,96,Middle,4,High,No,9,Mild,81.9
70,16,80,88,High,0,Low,Yes,9,None,70.4
91,12,87,59,High,4,High,Yes,8,Severe,69.3
72,30,80,78,Low,4,Medium,Yes,9,Mild,69.3
76,21,81,93,Low,4,Low,No,7,Severe,62.55000000000001
100,16,82,97,Low,1,Medium,Yes,6,None,72.5
92,10,85,62,Middle,4,High,Yes,8,None,69.5
74,26,82,72,Low,3,Medium,Yes,8,Mild,67.3
99,25,97,71,Low,3,Medium,Yes,8,None,74.75
72,14,89,68,Low,2,Low,No,8,Severe,53.1
84,23,81,58,High,0,Medium,No,9,Severe,58.15
82,10,83,56,High,0,Low,No,7,Severe,52.3
96,24,83,81,Low,3,High,No,6,Severe,69.10000000000001
74,10,94,52,Low,0,High,No,7,Severe,51.7
94,13,96,79,Low,4,Low,No,7,None,67.95
91,19,85,76,Low,4,Low,No,8,None,67.75
76,19,83,91,Low,0,High,Yes,7,None,71.85000000000001
70,30,82,58,Low,4,Low,No,8,Mild,60.300000000000004
71,10,79,69,High,2,Low,Yes,7,Mild,61.2
76,18,100,98,Middle,0,High,No,6,Mild,74.1
94,19,77,73,High,0,Low,Yes,8,Severe,65.85
92,25,75,91,Middle,1,High,No,7,None,71.95
89,16,75,57,High,2,Medium,Yes,7,None,61.89999999999999
72,18,100,81,High,1,Low,No,8,None,70.2
70,24,77,59,High,1,Low,Yes,6,Severe,56.099999999999994
81,28,99,55,High,1,High,No,6,Severe,64.5
90,29,98,70,Low,4,Medium,Yes,6,Severe,66.85
94,11,89,67,Middle,3,High,Yes,8,None,72.45
78,20,94,91,Middle,2,Medium,Yes,6,Severe,64.7
70,24,98,90,Middle,1,Low,No,7,Mild,66.6
88,10,97,95,Low,3,Medium,No,9,None,73.0
80,28,94,69,Low,1,Low,No,7,Severe,57.5
70,30,76,69,High,4,Medium,Yes,8,Mild,70.4
91,18,84,60,High,2,High,No,6,None,67.5
86,25,92,84,Middle,1,High,No,8,None,74.05
76,28,87,82,Middle,0,High,No,9,Severe,66.2
98,16,98,79,Middle,4,High,No,9,Mild,76.9
100,25,89,76,Middle,4,High,No,7,None,74.85
89,20,91,60,Middle,1,High,Yes,7,Severe,62.0
71,19,88,72,Low,4,Low,No,8,None,63.150000000000006
78,15,78,56,High,2,Low,No,9,Severe,53.75
96,11,87,66,Middle,4,Medium,No,7,None,62.150000000000006
89,19,91,94,Middle,3,Low,No,6,None,71.95
77,16,77,63,Middle,0,High,Yes,8,Severe,58.699999999999996
79,14,75,85,Middle,2,Medium,No,8,Mild,61.8
78,24,85,58,Low,3,Low,Yes,9,Mild,64.0
81,22,83,71,High,0,High,No,8,Mild,71.6
82,22,76,83,Middle,1,Medium,No,8,Severe,59.0
83,14,90,90,Low,0,Low,No,9,Mild,67.1
91,27,76,61,High,2,Low,Yes,8,None,68.45
87,17,75,81,Middle,1,Low,Yes,6,Mild,63.95
72,25,93,88,High,0,Medium,Yes,9,Mild,75.65
72,16,96,74,Low,4,High,Yes,6,None,70.8
92,12,95,51,Low,1,Medium,No,9,Severe,52.7
74,21,91,84,High,2,Medium,Yes,8,Mild,73.45
97,29,100,54,High,2,Low,Yes,9,Severe,67.85000000000001
96,24,90,53,Low,3,High,No,9,None,69.1
97,18,86,74,Middle,2,High,No,9,Severe,65.3
79,13,80,99,Middle,0,High,No,7,Mild,69.75
72,10,93,95,High,1,Medium,Yes,8,Mild,74.0
70,17,100,65,High,4,Low,Yes,9,Mild,70.75
78,10,98,90,High,2,High,Yes,9,Severe,74.7
78,20,84,99,Middle,0,Low,No,7,Severe,62.10000000000001
70,15,99,76,High,2,High,No,8,None,72.35
79,19,97,82,High,0,High,No,6,None,74.55
91,10,88,61,High,0,High,No,6,None,66.6
93,21,75,60,High,3,High,Yes,9,Severe,69.85
71,27,89,69,Low,0,High,Yes,6,None,67.45
95,11,99,66,Middle,2,High,Yes,9,Severe,66.35
70,29,79,59,Middle,1,High,No,6,None,59.75
92,15,88,93,High,3,Low,No,7,Severe,70.65
93,25,76,75,High,4,High,No,7,Severe,70.55000000000001
72,25,91,79,High,0,Medium,Yes,9,Severe,67.55
98,30,75,85,Middle,1,Low,Yes,8,Mild,72.6
74,23,85,59,High,4,Medium,No,6,Mild,63.25
71,19,92,94,Middle,1,Medium,Yes,6,Severe,63.55000000000001
94,17,77,66,Middle,2,Low,Yes,9,Severe,58.25
78,18,95,88,Low,4,Medium,Yes,7,Severe,66.5
81,29,89,56,Middle,3,Medium,Yes,9,None,66.05
93,12,81,96,Middle,2,Low,No,6,Mild,66.6
94,18,84,77,Middle,2,High,No,7,None,68.2
93,28,80,76,Middle,1,Medium,No,6,Mild,64.4
88,20,92,100,Low,1,High,Yes,9,Severe,76.0
74,15,99,77,Low,1,Low,Yes,6,None,64.45
90,11,94,94,Middle,4,High,Yes,9,None,80.75
97,14,77,91,High,3,Low,Yes,7,Mild,76.60000000000001
100,10,80,94,High,2,Low,No,6,Severe,66.7
95,14,97,56,Low,2,Medium,Yes,8,Mild,63.7
93,14,100,85,High,3,Medium,No,6,Mild,75.6
88,24,96,78,Middle,0,Low,Yes,7,Severe,64.2
95,27,82,76,High,3,Low,Yes,6,Mild,75.95
96,17,79,87,Middle,4,Medium,Yes,7,None,71.35
78,29,75,70,Middle,3,Medium,Yes,8,Mild,66.85
90,13,75,88,Low,0,High,Yes,8,None,72.65
71,27,88,61,Middle,0,High,No,8,None,63.85000000000001
82,29,91,69,Low,3,High,Yes,7,None,73.55
82,16,90,73,Low,0,Medium,Yes,6,Mild,63.300000000000004
74,28,97,92,Low,4,Low,Yes,7,None,74.8
93,28,98,56,Low,0,High,Yes,9,Severe,67.0
94,11,75,52,High,0,Medium,No,7,Mild,57.15
90,11,93,67,Middle,3,High,No,7,Severe,62.45
89,18,92,50,High,1,Medium,No,9,None,62.7
78,27,100,78,Middle,4,Low,Yes,6,None,71.75
78,16,98,86,Low,1,Low,No,6,Mild,65.0
70,21,89,86,High,0,Medium,Yes,8,Mild,72.85
99,26,75,95,Low,4,High,No,6,Severe,72.8
73,17,96,74,Middle,3,High,No,9,None,70.25
78,28,100,76,Low,0,High,Yes,7,Severe,68.4
70,25,77,69,High,3,Medium,Yes,7,None,67.35
78,29,78,70,High,2,Medium,No,8,None,66.45
78,11,96,56,Low,3,High,Yes,6,Severe,60.35000000000001
86,30,88,57,Low,0,Low,No,8,None,61.39999999999999
74,24,81,96,Low,1,Medium,Yes,8,Mild,70.8
78,10,88,55,High,0,High,No,7,Mild,62.2
100,11,87,63,High,1,High,Yes,9,Severe,69.05000000000001
72,18,83,78,High,3,Low,No,9,Severe,63.900000000000006
99,16,80,93,Low,2,High,Yes,6,None,75.69999999999999
82,18,90,99,Middle,3,Low,No,9,Severe,68.60000000000001
92,10,88,76,Middle,1,High,Yes,7,Mild,69.3
80,27,78,54,High,0,Low,No,6,None,59.55
71,19,94,56,High,1,High,Yes,7,None,67.55
77,21,95,62,Low,0,Low,No,7,Mild,58.25
94,11,93,65,Middle,1,High,No,9,Mild,66.65
92,23,87,53,Middle,0,High,No,9,Severe,59.45
96,11,82,78,Middle,1,High,Yes,9,Severe,66.75
78,24,87,83,Low,3,Low,No,7,Mild,66.9
96,12,100,99,Low,1,Medium,No,9,Severe,68.9
86,29,81,51,High,1,Low,Yes,9,Severe,60.94999999999999
79,28,96,61,High,1,High,No,6,Mild,70.3
99,22,92,75,High,4,High,No,7,None,79.2
82,28,87,78,Low,4,High,Yes,9,Severe,72.2
85,16,93,51,Low,1,Low,Yes,8,None,59.9
73,27,92,58,High,2,High,No,8,Mild,69.15
91,20,96,85,Middle,2,High,Yes,7,Severe,70.9
70,29,80,80,High,0,High,No,6,Severe,66.25
74,16,97,61,High,0,High,Yes,6,Mild,69.5
86,28,85,85,Low,4,Medium,No,8,None,71.7
72,20,81,64,High,1,Medium,Yes,6,Severe,57.8
70,23,76,81,High,0,Low,Yes,7,None,67.25
95,12,94,86,High,4,High,No,9,Mild,81.6
80,21,97,73,High,2,High,No,8,Severe,69.55000000000001
73,10,92,51,Low,3,High,No,9,Mild,60.8
87,25,96,86,High,2,Medium,No,8,Severe,70.65
91,18,86,92,Low,4,Medium,Yes,9,Severe,70.5
91,27,81,64,Low,3,Low,Yes,9,None,68.35
89,28,77,58,High,4,Low,Yes,6,Mild,68.6
84,13,88,62,Middle,2,High,Yes,6,Severe,59.25
73,25,99,55,High,2,Low,Yes,7,Severe,60.150000000000006
89,12,89,52,High,3,Low,No,6,Mild,62.2
84,27,82,54,High,0,High,No,7,Severe,61.150000000000006
78,13,81,74,Middle,3,Medium,Yes,8,None,65.25
96,29,83,97,Middle,1,Low,No,9,Mild,74.15
80,27,78,66,Low,3,Low,Yes,6,Severe,59.150000000000006
87,10,94,89,Low,3,Medium,Yes,7,None,71.4
89,13,95,80,High,3,Medium,Yes,6,Mild,75.05
88,12,87,97,High,4,Low,Yes,8,Severe,75.1
96,21,97,53,High,1,Low,No,8,Mild,66.75
89,10,83,70,High,1,Medium,Yes,6,Mild,65.9
93,15,90,60,Low,0,Medium,No,7,Severe,53.35
85,21,90,96,High,1,Low,Yes,6,None,77.05
84,24,94,60,Middle,0,Medium,No,6,Severe,54.6
89,20,86,69,Middle,4,High,No,9,Severe,65.7
79,12,100,53,Low,0,Medium,No,6,None,54.699999999999996
88,11,92,87,High,0,High,No,7,Mild,74.85
75,25,100,74,High,1,Medium,Yes,9,Severe,68.45
100,11,90,62,Low,2,Low,Yes,8,Severe,59.349999999999994
94,21,76,71,Low,0,High,Yes,8,Severe,65.55
96,17,99,71,Middle,3,Low,No,9,None,69.55
91,21,95,56,Middle,4,High,Yes,6,Severe,65.25
77,23,77,63,High,2,Medium,No,9,Severe,57.449999999999996
78,24,89,76,High,0,Low,No,9,None,69.2
98,27,95,78,Middle,4,Low,No,6,None,71.75
100,14,85,98,Low,3,High,Yes,9,Mild,82.9
91,27,75,84,Low,4,High,Yes,8,None,78.15
75,25,88,66,Low,1,Medium,Yes,9,None,63.650000000000006
100,15,100,73,Middle,4,Low,Yes,6,Severe,66.65
95,24,95,73,Low,4,Low,No,7,Severe,63.900000000000006
77,24,96,76,Middle,3,Low,No,6,Mild,66.4
75,25,98,52,High,0,Medium,Yes,7,Severe,59.45
71,11,89,87,High,4,Medium,No,9,Mild,70.85
97,17,84,78,High,4,Medium,No,7,None,71.85
97,28,96,59,High,3,Low,Yes,7,Severe,69.30000000000001
99,27,80,91,Low,2,Low,No,6,Mild,69.85
89,12,81,64,High,3,Low,No,8,None,66.2
75,22,95,94,High,0,Medium,Yes,9,Severe,72.7
81,22,96,71,High,3,Low,Yes,8,None,75.2
73,17,93,89,Low,2,Low,No,8,None,66.15
74,13,99,96,High,0,High,Yes,6,Severe,74.65
93,21,75,78,Middle,1,High,Yes,6,Severe,65.25
70,14,87,79,High,2,Low,No,8,Mild,65.60000000000001
85,28,93,69,Middle,3,Medium,Yes,8,Mild,71.3
79,27,97,92,High,3,Medium,No,9,None,79.55
96,29,88,84,Low,1,Medium,No,8,Mild,71.25
98,15,94,79,High,4,Medium,Yes,8,Mild,78.85000000000001
79,28,86,93,Low,3,Low,No,9,Severe,67.9
70,24,77,63,Middle,3,Low,Yes,6,None,60.3
83,25,93,75,Low,2,Medium,Yes,7,Severe,61.95
95,29,76,54,Middle,4,Medium,Yes,6,Mild,63.650000000000006
72,27,81,90,Low,4,Medium,Yes,8,Severe,67.35
84,12,90,91,High,3,High,Yes,9,Mild,83.1
88,19,89,97,Low,1,Low,Yes,9,Mild,74.25
71,13,91,69,Low,1,Medium,Yes,9,Mild,61.35000000000001
90,12,76,65,High,1,Medium,Yes,6,None,63.7
89,14,89,86,High,0,High,Yes,6,Severe,72.9
74,27,76,92,Middle,3,Low,No,6,Severe,62.349999999999994
73,10,95,61,Low,3,Low,Yes,7,Mild,60.400000000000006
71,25,95,88,Middle,0,Low,Yes,8,Severe,65.85
93,14,97,84,High,1,Low,Yes,9,Severe,71.7
70,10,98,80,Middle,3,Low,No,6,None,63.1
79,25,90,86,Middle,0,Low,Yes,7,None,68.85
94,13,95,54,Low,2,Medium,Yes,9,Severe,57.25
81,23,100,76,High,2,High,Yes,7,Mild,77.75
85,29,81,65,Low,2,High,Yes,8,Mild,69.95
86,30,80,59,Low,2,High,No,8,Severe,60.400000000000006
